date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:57	10740/10740	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202024%2009:22:45%20GMT	https://paversongames.com/cdn/shop/files/PaversonLogo_Horizontal.png?v=1671811130&width=240	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/PaversonLogo_Horizontal6027.png	(from https://paversongames.com/)
14:44:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:55%20GMT	http://paversongames.com/cdn/shop/files/PaversonLogo_Horizontal_White.png?v=1671813135&width=240	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/PaversonLogo_Horizontal_Whitedfce.png	(from https://paversongames.com/)
14:44:58	8298/8298	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202024%2018:28:34%20GMT	https://paversongames.com/cdn/shop/files/PaversonLogo_Horizontal_White.png?v=1671813135&width=240	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/PaversonLogo_Horizontal_Whitedfce.png	(from https://paversongames.com/)
14:44:58	274083/274083	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:8fe62f50930d12a1512c33485757b4b5%22	https://paversongames.com/search	F:/MLNWEB/BroadGame/paversongames.com/search.html	(from https://paversongames.com/)
14:44:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:57%20GMT	http://paversongames.com/cdn/shop/files/luthier-box-black-wide-centered-SMALL_08e8e2f0-0fc1-4532-b295-2e2dfa8d57cc.png?v=1713646242&width=1680	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/luthier-box-black-wide-centered-SMALL_08e8e2f0-0fc1-4532-b295-2e2dfa8d57cc6778.png	(from https://paversongames.com/)
14:45:00	272786/272786	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:639d21fc4f0d60cb91989b2cb5418441%22	https://paversongames.com/cart	F:/MLNWEB/BroadGame/paversongames.com/cart.html	(from https://paversongames.com/)
14:45:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:44:59%20GMT	http://paversongames.com/cdn/shop/files/Paverson-Games-Badge-1.png?v=1673900970&width=170	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/Paverson-Games-Badge-18ccd.png	(from https://paversongames.com/)
14:45:01	1934916/1934916	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Nov%202024%2007:44:59%20GMT	https://paversongames.com/cdn/shop/files/luthier-box-black-wide-centered-SMALL_08e8e2f0-0fc1-4532-b295-2e2dfa8d57cc.png?v=1713646242&width=1680	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/luthier-box-black-wide-centered-SMALL_08e8e2f0-0fc1-4532-b295-2e2dfa8d57cc6778.png	(from https://paversongames.com/)
14:45:01	11430/11430	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Nov%202024%2019:54:44%20GMT	https://paversongames.com/cdn/shop/files/Paverson-Games-Badge-1.png?v=1673900970&width=170	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/files/Paverson-Games-Badge-18ccd.png	(from https://paversongames.com/)
14:45:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:45:00%20GMT	http://paversongames.com/cdn/shop/products/Distilled-Board-Game_1_FullRes.png?v=1676994445&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Distilled-Board-Game_1_FullResd8f6.png	(from https://paversongames.com/)
14:45:04	297282/297282	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:63d4b2de0b85850e058ef693db349aca%22	https://paversongames.com/collections/frontpage	F:/MLNWEB/BroadGame/paversongames.com/collections/frontpage.html	(from https://paversongames.com/)
14:45:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:45:04%20GMT	http://paversongames.com/cdn/shop/products/Paverson-Distilled-2023-HighRes-2b.jpg?v=1676994445&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Paverson-Distilled-2023-HighRes-2bd8f6.jpg	(from https://paversongames.com/)
14:45:05	336393/336393	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Nov%202024%2007:45:04%20GMT	https://paversongames.com/cdn/shop/products/Distilled-Board-Game_1_FullRes.png?v=1676994445&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Distilled-Board-Game_1_FullResd8f6.png	(from https://paversongames.com/)
14:45:06	130725/130725	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Nov%202024%2007:45:05%20GMT	https://paversongames.com/cdn/shop/products/Paverson-Distilled-2023-HighRes-2b.jpg?v=1676994445&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Paverson-Distilled-2023-HighRes-2bd8f6.jpg	(from https://paversongames.com/)
14:45:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:45:05%20GMT	http://paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion.png?v=1673895956&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion7346.png	(from https://paversongames.com/)
14:45:09	353928/353928	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:5e37675ac612ed6fb92d6f8456c5a7c0%22	https://paversongames.com/products/distilled-board-game	F:/MLNWEB/BroadGame/paversongames.com/products/distilled-board-game.html	(from https://paversongames.com/)
14:45:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Nov%202024%2007:45:08%20GMT	http://paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion_2.png?v=1674227623&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion_2b1e2.png	(from https://paversongames.com/)
14:45:10	221536/221536	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Nov%202024%2007:45:08%20GMT	https://paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion.png?v=1673895956&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion7346.png	(from https://paversongames.com/)
14:45:12	631525/631525	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Nov%202024%2007:45:10%20GMT	https://paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion_2.png?v=1674227623&width=580	F:/MLNWEB/BroadGame/paversongames.com/cdn/shop/products/Africa-Middle-East-Expansion_2b1e2.png	(from https://paversongames.com/)
